bioproject_id,source,study_title,study_type,study_type_curation,target,target_curation,target_class,target_class_curation,chemistry,chemistry_curation,n_random,n_random_curation,n_rounds,n_rounds_curation,selection_format,selection_format_curation,counter_selection,counter_selection_curation
PRJDB19098,ena,HT-SELEX against reombinant human FGF-9,aptamer_selection,concordant,recombinant human FGF-9,concordant,,not_stated,RNA,concordant,,not_stated,six rounds,concordant,HT-SELEX,concordant,,not_stated
PRJDB19137,ena,HT-SELEX against reombinant mouse ST2,aptamer_selection,concordant,recombinant mouse ST2,concordant,,not_stated,RNA,concordant,,not_stated,seven rounds,concordant,HT-SELEX,concordant,,not_stated
PRJDB19138,ena,HT-SELEX against reombinant human FGF-9 with 30mer library,aptamer_selection,concordant,recombinant human FGF-9,concordant,,not_stated,RNA,concordant,30-mer,concordant,six rounds,concordant,HT-SELEX,concordant,,not_stated
PRJDB19139,ena,HT-SELEX against reombinant human LH,aptamer_selection,concordant,recombinant human LH (luteinizing hormone),concordant,,not_stated,RNA,concordant,,not_stated,four rounds,concordant,HT-SELEX,concordant,,not_stated
PRJDB19140,ena,HT-SELEX against reombinant human LH with 3% doped library,aptamer_selection,concordant,recombinant human LH (luteinizing hormone),concordant,,not_stated,RNA,concordant,3% doped library,single_source:codex,three rounds,concordant,HT-SELEX,concordant,,not_stated
PRJDB19141,ena,HT-SELEX against reombinant human LH with 8% doped library,aptamer_selection,concordant,recombinant human LH (luteinizing hormone),concordant,,not_stated,RNA,concordant,8% doped library,single_source:codex,three rounds,concordant,HT-SELEX,concordant,,not_stated
PRJDB40016,ena,HT-SELEX against recombinant RBD-His protein,aptamer_selection,concordant,recombinant RBD-His protein,concordant,protein,concordant,RNA,concordant,,not_stated,five rounds,concordant,HT-SELEX,concordant,,not_stated
PRJDB40017,ena,HT-SELEX against recombinant rhNR4A1,aptamer_selection,concordant,recombinant rhNR4A1 protein,concordant,protein,concordant,RNA,concordant,,not_stated,seven rounds,concordant,HT-SELEX,concordant,,not_stated
PRJDB40584,ena,Selection of High Sensitivity Aptamers as the Binding Molecule Equipage on gFET-Based Aptasensors for the Quantification of Staphylococcus aureus (MRSA),aptamer_selection,concordant,Methicillin-resistant Staphylococcus aureus (MRSA),concordant,bacteria,single_source:codex,DNA,concordant,,not_stated,six rounds,concordant,FluCell-SELEX,concordant,,not_stated
PRJDB7696,ena,CASTing analysis of Smad3 or Smad4 overexpressed in 293T cells,tf_ht_selex,concordant,Smad3 or Smad4,concordant,protein (Smad proteins),concordant,double-stranded DNA,concordant,N32,concordant,5 cycles,concordant,CASTing,concordant,,not_stated
PRJDB9110,ena,HT-SELEX against human transglutaminase 2,aptamer_selection,concordant,human transglutaminase 2,concordant,,not_stated,RNA,concordant,,not_stated,eight rounds,concordant,HT-SELEX,concordant,,not_stated
PRJDB9111,ena,HT-SELEX against human intergrin alphaV beta3,aptamer_selection,concordant,human integrin alphaV beta3,concordant,,not_stated,RNA,concordant,,not_stated,six rounds,concordant,HT-SELEX,concordant,,not_stated
PRJEB111361,ena,High-throughput sequencing of SELEX rounds to identify enriched aptamer sequences.,aptamer_selection,concordant,Plasmodium falciparum lactate dehydrogenase (Pf-LDH),concordant,,not_stated,single-stranded DNA (ssDNA),concordant,,not_stated,,not_stated,SELEX,concordant,,not_stated
PRJEB14550,ena,MODER: Efficient discovery of the modular structure of monomeric and dimeric transcription factor binding motifs,tf_ht_selex,concordant,transcription factors HOXB13 and FLI1,adjudicated,transcription factor,concordant,DNA alphabet,single_source:codex,40,adjudicated,,not_stated,HT-SELEX,concordant,,not_stated
PRJEB14744,ena,"Additional sequencing coverage for the study by Jolma et al 2013, “DNA-binding specificities of human Transcription factors. This new deeper sequencing data has been used in the publication ""Transcription factor family‐specific DNA shape readout revealed by quantitative specificity models”",tf_ht_selex,concordant,human transcription factors (DNA-binding domains; e.g. BCL6B),concordant,sequence specific DNA binding protein,concordant,synthetic DNA,concordant,"14, 20, 30 or 40 bases (varies by ligand design)",concordant,varies by sample; selection cycle encoded in each run name,single_source:claude,HT-SELEX,concordant,,not_stated
PRJEB14923,ena,Multiparameter functional diversity of human C2H2 zinc finger proteins,tf_ht_selex,concordant,human ZNF394 (extended DBD construct),concordant,C2H2 zinc finger protein,concordant,,not_stated,,not_stated,,not_stated,HT-SELEX,concordant,,not_stated
PRJEB20112,ena,Background sequencing data for SELEX,method_or_other,concordant,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,SELEX (initial/background library),concordant,,not_stated
PRJEB20652,ena,Here we show how one transcription factor bind to two distinct motifs with similar binding affinities.,tf_ht_selex,concordant,transcription factors HOXB13 and CDX2,concordant,transcription factor,concordant,DNA sequences,single_source:codex,,not_stated,,not_stated,,not_stated,,not_stated
PRJEB22637,ena,Cell-SELEX identify an aptamer named ACE4 against the Annexin A2,aptamer_selection,concordant,CHO-K1 cells expressing human Endothelin type B receptor (ETBR); aptamer ACE4 binds Annexin A2,concordant,cells (CHO-K1 cell line),concordant,2'F-pyrimidine RNA,verified,,not_stated,round 15,single_source:codex,Cell-SELEX,concordant,present,concordant
PRJEB22684,ena,Analysis of transcription factor binding on nucleosomal DNA,tf_ht_selex,concordant,transcription factors (TFs),concordant,transcription factor,concordant,DNA,concordant,101 or 154 bp randomized regions,single_source:codex,cycles 1 to 5,concordant,NCAP-SELEX,concordant,,not_stated
PRJEB25690,ena,Accurate and Sensitive Quantification of Protein-DNA Binding Affinity,tf_ht_selex,concordant,human Max homodimer and p53 tetramer,concordant,transcription factor,concordant,DNA,concordant,,not_stated,one cycle,single_source:codex,in vitro selection (SELEX),concordant,,not_stated
PRJEB25907,ena,Binding specificities of human RNA binding proteins towards structured and linear RNA sequences,aptamer_selection,adjudicated,human RNA-binding proteins (e.g. RBFOX1),concordant,RNA binding protein,concordant,RNA,concordant,40,adjudicated,two rounds (per RBFOX1 example; cycle encoded per sample),single_source:claude,HTR-SELEX,concordant,,not_stated
PRJEB28303,ena,Differential binding cell-SELEX: method for identification of cell specific aptamers by high throughput sequencing,aptamer_selection,concordant,clear cell renal cell carcinoma (ccRCC) cell line,concordant,cells (cancer cell line),concordant,ssDNA,single_source:codex,N40,single_source:codex,11 selection cycles,single_source:codex,differential binding cell-SELEX,concordant,present,concordant
PRJEB28411,ena,Differential binding cell-SELEX: method for identification of cell specific aptamers by high throughput sequencing,aptamer_selection,concordant,clear cell renal cell carcinoma (ccRCC) cell line,concordant,cells (cancer cell line),concordant,ssDNA,single_source:codex,N40,single_source:codex,11 selection cycles,single_source:codex,differential binding cell-SELEX,concordant,present,concordant
PRJEB29730,ena,HT-SELEX dataset of Ciona robusta transcription factors,tf_ht_selex,concordant,Ciona robusta transcription factors (DNA-binding domains),concordant,transcription factor,concordant,DNA,single_source:codex,,not_stated,,not_stated,HT-SELEX,concordant,,not_stated
PRJEB38961,ena,HT-SELEX of recombinant C2H2 zinc finger domain of Sall4,tf_ht_selex,concordant,SALL4 C2H2 zinc finger AT-binding domain (ZFC4),concordant,C2H2 zinc finger domain,concordant,DNA sequences,single_source:codex,,not_stated,"0, 1, 3, or 6 cycles",single_source:codex,HT-SELEX,concordant,,not_stated
PRJEB46967,ena,In Vitro Selection of DNA Molecules Favouring Intramolecular Circularization by DNA Ligase,aptamer_selection,adjudicated,T4DL,single_source:codex,DNA ligase,single_source:codex,DNA,concordant,N40,single_source:codex,14 SELEX cycles,single_source:codex,in vitro selection,concordant,,not_stated
PRJEB47428,ena,"HTR-SELEX rawdata for experiments performed with 23 RNA binding proteins for the study: ""PRIESSTESS: interpretable, high-performing models of the sequence and structure preferences of RNA binding proteins""",aptamer_selection,adjudicated,23 RNA binding proteins (e.g. HNRNPC),concordant,RNA binding protein,concordant,RNA,concordant,40 (40N randomised region),concordant,selection cycle encoded per sample (e.g. Cycle1),concordant,HTR-SELEX,concordant,,not_stated
PRJEB48966,ena,"HT-SELEX and genomic HT-SELEX rawdata for experiments performed with 4 C2H2 zinc finger transcription factors for the study: "" Alternate binding modes of human C2H2 TFs""",tf_ht_selex,concordant,human C2H2 zinc finger transcription factors (e.g. ZNF121),concordant,C2H2 zinc finger transcription factor,concordant,DNA,concordant,"40 (40N randomised region, per TT40NTACAGC ligand)",concordant,selection cycle encoded per sample (e.g. Cycle3),single_source:claude,HT-SELEX and GHT-SELEX (Genomic HT-SELEX),concordant,,not_stated
PRJEB49150,ena,"HT-SELEX data for three BEN DNA binding domain transcription factors (NACC1, NACC2, BEND3-BD4) associated with this study.",tf_ht_selex,concordant,"NACC1, NACC2, BEND3-BD4",concordant,transcription factor (BEN DNA binding domain),concordant,DNA,concordant,40 bp,concordant,selection cycle encoded per sample (e.g. cycle 2),single_source:claude,HT-SELEX,concordant,,not_stated
